edge_id;node_from;node_to;max_speed_dir_malles;max_speed_dir_merano;length;gradient;scenario;edge_type
Pr_I_LASA_72-Pa_E_LASA_82;Pr_I_LASA_72;Pa_E_LASA_82;100;100;0,117;2,14;base;straight
Pa_E_LASA_82-Pr_E_LASA_02;Pa_E_LASA_82;Pr_E_LASA_02;100;100;0,151;2,12;base;straight
Pr_E_LASA_02-HD_701_01;Pr_E_LASA_02;HD_701_01;100;100;1;2,16;base;straight
HD_701_01-SblLasa46915;HD_701_01;SblLasa46915;100;100;0,265;2,15;base;straight
SblLasa46915-HD_701_03;SblLasa46915;HD_701_03;100;100;0,735;2,16;base;straight
HD_701_03-Pr_E_ORIS_01;HD_701_03;Pr_E_ORIS_01;100;100;1,198;2,15;base;straight
Pr_E_ORIS_01-Dev_ORIS_01;Pr_E_ORIS_01;Dev_ORIS_01;100;100;0,071;1,58;base;straight
Dev_ORIS_01-Pr_I_ORIS_71;Dev_ORIS_01;Pr_I_ORIS_71;100;100;0,03;1,58;base;straight
Pr_I_ORIS_71-PL30;Pr_I_ORIS_71;PL30;100;100;0,024;0;base;straight
PL30-Pa_ORIS_31;PL30;Pa_ORIS_31;100;100;0,025;0;base;straight
Pa_ORIS_31-ORIS;Pa_ORIS_31;ORIS;100;100;0,022;0;base;straight
ORIS-Pa_ORIS_32;ORIS;Pa_ORIS_32;100;100;0,127;0,94;base;straight
Pa_ORIS_32-Pr_E_ORIS_02;Pa_ORIS_32;Pr_E_ORIS_02;100;100;0,15;4,4;base;straight
Pr_E_ORIS_02-HD_702_02;Pr_E_ORIS_02;HD_702_02;100;100;1;4,4;base;straight
HD_702_02-Pr_E_SPON_01;HD_702_02;Pr_E_SPON_01;100;100;0,982;4,41;base;straight
Pr_E_SPON_01-Pa_E_SPON_81;Pr_E_SPON_01;Pa_E_SPON_81;100;100;0,172;4,36;base;straight
Pa_E_SPON_81-Pr_I_SPON_71;Pa_E_SPON_81;Pr_I_SPON_71;100;100;0,169;4,38;base;straight
Pr_I_SPON_71-PL31;Pr_I_SPON_71;PL31;100;100;0,024;0;base;straight
PL31-Pr_I_SPON_51;PL31;Pr_I_SPON_51;100;100;0,008;0;base;straight
Pr_I_SPON_51-Pa_I_SPON_61;Pr_I_SPON_51;Pa_I_SPON_61;100;100;0,016;0;base;straight
Pa_I_SPON_61-Dev_SPON_01;Pa_I_SPON_61;Dev_SPON_01;100;100;0,004;0;base;straight
Dev_SPON_01-Pa_I_SPON_31;Dev_SPON_01;Pa_I_SPON_31;100;100;0,117;0;base;straight
Pa_I_SPON_31-SPON;Pa_I_SPON_31;SPON;100;100;0,078;0;base;straight
SPON-Pa_I_SPON_32;SPON;Pa_I_SPON_32;100;100;0,119;0;base;straight
Pa_I_SPON_32-Dev_SPON_02;Pa_I_SPON_32;Dev_SPON_02;100;100;0,075;0;base;straight
Dev_SPON_02-Pr_I_SPON_52;Dev_SPON_02;Pr_I_SPON_52;100;100;0,05;0;base;straight
Pr_I_SPON_52-Pa_E_SPON_62;Pr_I_SPON_52;Pa_E_SPON_62;100;100;0,318;0,35;base;straight
Pa_E_SPON_62-PL32;Pa_E_SPON_62;PL32;100;100;0,025;0,4;base;straight
PL32-Pr_I_SPON_72;PL32;Pr_I_SPON_72;100;100;0,026;0,38;base;straight
Pr_I_SPON_72-Pr_E_SPON_02;Pr_I_SPON_72;Pr_E_SPON_02;100;100;0,1;2,9;base;straight
Pr_E_SPON_02-HD_801_02;Pr_E_SPON_02;HD_801_02;100;100;1;9,4;base;straight
HD_801_02-HD_801_04;HD_801_02;HD_801_04;100;100;1;9,4;base;straight
HD_801_04-SblSpon54860;HD_801_04;SblSpon54860;100;100;0,28;9,39;base;straight
